,sentiment
B081TVVM16,0.33271764705882356
B01CCWR3OO,0.7765
B07PC4ZTGB,0.5166552631578947
B079T97FNX,0.34821111111111114
B01DJJ6IQI,0.563075
B08YXLLM7R,0.20559727891156468
B092SXJCZC,0.47285652173913045
B07Y7D1PFQ,0.17228936170212766
B093W2H281,0.47079999999999994
B01ASDYQQC,0.7230137499999997
B071NNLLJ8,0.3819937499999999
B0BNWCSPNJ,0.15563125
B06XFVDSXK,0.4089214285714286
B0BH6HVCL7,0.92546
B0BSLW75F4,0.35638076923076933
B01MSARE4D,0.7271222222222222
B06XK2GNBD,0.5103545454545454
B07B9MB888,0.3587522727272728
B07B2KHPRF,0.56095
B08N1LJ326,0.6367999999999999
B08WKLSKB3,0.3485226415094338
B01890VGP0,0.5172800000000001
B07RC9FWLN,0.707996551724138
B073L42VMD,0.38464615384615386
B096R5QZHV,0.2157239436619718
B07BSJG8F5,0.7128736842105262
B07V6618RV,0.264036
B07CZN476C,0.663575
B01DOP9S2S,0.10818749999999998
B07T1F3RTQ,0.500511111111111
B0BFJWX474,0.519175
B07NP52Y1F,0.4156965517241377
B07K17VRP7,0.309376
B0BDC9GP64,0.5206692307692307
B07XJLKVQ7,0.6329153846153847
B0BHTPFH93,0.3381937499999999
B08W6JCTLX,0.5162375
B075454DKN,0.47774375
B094YS75WH,0.513746551724138
B0965BVZLG,0.2886281250000001
B01BWDG62E,0.20296923076923076
B015NSJ11W,0.2988417682926827
B0BVV1BTYK,0.6142000000000001
B07J33KC69,0.6865769230769231
B01A26V4NS,0.7531
B0716J5ZSX,0.6821081081081082
B0BZ4ZVMCL,0.43421975308641975
B07CK3CPF5,0.6321666666666667
B0841BJRVM,0.4175157894736842
B07D645HM4,0.3805
B09C129PT4,0.4490428571428572
B0779MS18Z,0.46065500000000004
B07R114HCF,0.31745853658536594
B073V7FQNN,0.7008133333333333
B015DTI1OY,0.4671861538461539
B0BNPB4CWL,0.39836499999999997
B075S1DTM1,0.7680562499999999
B01MFCAPRZ,0.7231
B099419MFJ,0.35562444444444447
B074SZ8D1M,0.5073225806451611
B0B2JQYG1V,0.13478918918918917
B09K4L3SFR,0.29746666666666666
B07N1WNBB3,0.3083333333333333
B07F6SH4H1,0.42718181818181816
B01DWS4V5G,0.8829499999999999
B0CBPD8LQL,0.7593833333333334
B071K9HFY7,0.4898846153846155
B07K6W4XV6,0.61248
B077CT6LNT,0.4562758620689655
B09DHMVYKN,0.5238923076923077
B01MTIF8CX,0.7089000000000001
B01N0Y9BGX,0.6422541666666669
B0BP8C2RS1,0.5305764705882353
B07C87FGRS,0.7585444444444445
B0B6SW7BNP,0.20525714285714286
B078PYR2GL,0.3412062500000001
B0757468NZ,0.35967142857142853
B081CQD53M,0.38695714285714283
B07W3PB7DX,0.5001818181818181
B08L6TPM3F,0.44572105263157896
B09885YM98,0.45131428571428567
B09GK2JJDZ,0.49666501650164985
B09R94X96M,0.6893176470588235
B01FNEH686,0.5253694444444444
B08TRPXHLT,0.4729780487804877
B01DLDD98M,0.89604
B077J2BF57,0.7851409090909093
B018ZM27YQ,0.34109411764705877
B083QQ6DPG,0.5857142857142856
B09BG3Y997,0.6731
B09FTLGNKH,0.4507307692307692
B0797YSYFR,0.7849
B019DWJL1Y,0.33901034482758624
B09VDVXVLY,0.8716071428571429
B01JFF1MFM,0.5212319999999999
B09LGHQHSD,0.5615
B08L3PZ8PH,0.20957777777777778
B0732NXJ36,0.4534545454545455
B01LVXHF5B,0.5413272727272728
B01MFFDJNU,0.6183307692307694
B07NGJ8FMR,0.6552055555555555
B076CYCZBT,0.40638695652173906
B07BNXCRFN,0.650075
B0186REUAO,0.6149103448275863
B0BHF8QL27,0.7353705882352941
B0BKTNL28N,0.43022727272727274
B093NKDQWP,0.40237272727272727
B079G93TK3,0.6131
B09QMQDRWG,0.6134961538461539
B01FXU33D2,0.48210000000000003
B0BLTGBZVG,0.40225999999999995
B09RHMFYTT,0.6350736842105263
B099KW6S1C,0.2997460317460317
B09LZ52XZ5,0.63104
B07KDXCZZB,0.5242684210526317
B07D6ZKTM1,0.4343814814814814
B07Q6KZVP8,0.5079687500000001
B07F5ZDSPZ,0.5880090909090909
B01BOC8428,0.2800925925925926
B077H9QGG4,0.4760596153846154
B019YBBV2G,0.2819166666666667
B0B71PDRPK,0.21686440677966104
B016NI6SEY,0.624375
B0BHXRF8R1,0.4747653846153846
B0C46MHCFK,0.41673870967741933
B07L6SSJ2Z,0.848125
B095N7PZHX,0.6326863636363637
B07HYBYNBB,0.7162000000000001
B086Z642WC,0.4390181818181818
B07NF5VB1H,0.2210911764705882
B0B25SVJLQ,0.3289466666666667
B019UP5YZ6,0.6382999999999999
B09CV94TS7,0.3835535999999998
B0B7CP9ZWM,0.6070435897435896
B097M67HPM,0.29475454545454544
B01DTF0MLY,0.4626066666666667
B0BPF9BLN1,0.264023880597015
B019ZS52PA,0.3487333333333333
B0BZK6R7M7,0.6340428571428571
B07PF1Q485,0.5894027027027028
B07YNT8YXV,0.5053799999999999
B0BLP8235P,0.556
B0C48B1TR1,0.5009742857142857
B0788W42R1,0.8502500000000001
B097YZ2JCM,0.7748285714285714
B09RKJW7DT,0.43824666666666673
B015YI5I40,0.48949166666666666
B0165VFT8K,0.49497
B0160DCSQ4,0.28455
B01M8K2GJU,0.573607894736842
B0B1YZM7CV,0.25281000000000003
B09J36QZQN,0.6564
B016CEAEMG,0.2392065217391304
B016EGINY8,0.40614799999999995
B01DLCWLWI,0.6378384615384617
B01KNXTEYG,0.59895
B07K7QNTRZ,0.46068076923076917
B06XTG1TBM,0.6211461538461538
B0BL4198Y8,0.5624999999999999
B077KFV936,0.386325
B092X127WM,0.39251578947368426
B015LOH854,0.3327382812499998
B0BYWFV8B6,0.42510769230769235
B08GLN9C5Z,0.15292608695652168
B081732LNJ,0.4657072463768114
B07K7T1G72,0.45525161290322586
B0BN4DZJ3K,0.5325820512820512
B07SZ9VCFJ,0.5571757575757577
B0BFJXM2LY,0.39666
B07N1WNJF7,0.5548428571428571
B096SGYJZR,0.30488333333333334
B07QPXSP8R,0.3233833333333333
B085HM6M2B,0.5012666666666666
B08QV7PHXL,0.35995000000000005
B01B6DF5WW,0.6341983606557375
B0768779JZ,0.31621
B096DL33JR,0.41814375000000004
B01LX8OFNL,0.5980437499999999
B073Q8M5V7,0.31742916666666665
B01LIWABZW,0.3814470588235294
B08CNNQMGP,0.45999999999999996
B09LTY5WN2,0.48166551724137935
B01M1AV39X,0.42050555555555547
B015OT2YZ0,0.7924833333333333
B093DY68LR,0.5941333333333333
B01EXUSFR2,0.63794
B092MPC6PL,0.6178166666666667
